customer_id,sender,content,timestamp
1,customer,你好，请问牛奶丝什么价格？,2026-05-10 09:30:00
1,me,您好！我们是XX针织厂，牛奶丝150cm的24元/米，160cm的29元/米,2026-05-10 09:32:00
1,customer,能做T恤吗？,2026-05-10 09:35:00
1,me,完全可以，牛奶丝做T恤效果很好，弹性好手感软,2026-05-10 09:36:00
1,customer,我要500米，能便宜点吗？,2026-05-10 09:40:00
1,me,500米的话可以给您优惠到23元/米，量大还能再谈,2026-05-10 09:42:00
1,customer,我考虑一下,2026-05-10 09:45:00
2,customer,有四面弹吗？要2000米，急用！,2026-05-12 14:00:00
2,me,有现货！四面弹150cm的36元/米，160cm的42元/米，您要哪个规格？,2026-05-12 14:02:00
2,customer,150的，什么时候能发货？,2026-05-12 14:05:00
2,me,现货充足，今天付款明天就能发,2026-05-12 14:06:00
2,customer,好，价格能优惠吗？2500米呢,2026-05-12 14:10:00
2,me,量大可以优惠，2500米给您34.5元/米,2026-05-12 14:12:00
2,customer,行，安排吧，现金转账,2026-05-12 14:15:00
3,customer,王总，再给我来1000米罗纹，上次那个规格,2026-05-13 10:00:00
3,me,好的李总，还是150cm 220g的，老价格29元/米,2026-05-13 10:02:00
3,customer,行，发吧,2026-05-13 10:05:00
4,customer,摇粒绒什么价？,2026-05-08 11:00:00
4,me,摇粒绒150cm的33元/米，240g的,2026-05-08 11:02:00
4,customer,这么贵？XX家才28,2026-05-08 11:05:00
4,me,我们用的A级原料，足米足秤，品质不一样的,2026-05-08 11:06:00
4,customer,算了，太贵了,2026-05-08 11:10:00
7,customer,你好，看了你们的四面弹样品，质量可以的,2026-05-14 15:00:00
7,me,谢谢！那我们下单您看什么数量合适？,2026-05-14 15:02:00
7,customer,先来800米试试，好用后续长期合作,2026-05-14 15:05:00
7,me,没问题！800米按35元/米给您，总价28000元,2026-05-14 15:08:00
7,customer,可以，怎么付款？,2026-05-14 15:10:00
7,me,支持转账或现金，给您发账号,2026-05-14 15:12:00
